020	東北	005	秋田県
010	北海道	001	北海道
040	甲信越・北陸	018	福井県
030	関東	008	茨城県
020	東北	003	岩手県
040	甲信越・北陸	017	石川県
030	関東	011	埼玉県
060	関西	029	奈良県
030	関東	012	千葉県
020	東北	007	福島県
030	関東	014	神奈川県
060	関西	028	兵庫県
070	四国	036	徳島県
030	関東	013	東京都
040	甲信越・北陸	020	長野県
030	関東	010	群馬県
090	九州・沖縄	046	鹿児島県
080	中国	034	広島県
080	中国	033	岡山県
050	東海	023	愛知県
060	関西	027	大阪府
070	四国	038	愛媛県
060	関西	026	京都府
090	九州・沖縄	040	福岡県
040	甲信越・北陸	019	山梨県
090	九州・沖縄	044	大分県
080	中国	031	鳥取県
080	中国	032	島根県
020	東北	006	山形県
090	九州・沖縄	041	佐賀県
090	九州・沖縄	045	宮崎県
020	東北	002	青森県
070	四国	039	高知県
090	九州・沖縄	043	熊本県
090	九州・沖縄	042	長崎県
060	関西	030	和歌山県
040	甲信越・北陸	016	富山県
060	関西	025	滋賀県
050	東海	021	岐阜県
040	甲信越・北陸	015	新潟県
050	東海	024	三重県
030	関東	009	栃木県
050	東海	022	静岡県
070	四国	037	香川県
020	東北	004	宮城県
080	中国	035	山口県